Afghanistan Kabul
Algeria Algiers
Angola Luanda
Argentina Buenos_Aires
Armenia Yerevan
Australia Canberra
Austria Vienna
Azerbaijan Baku
Bahrain Manama
Bangladesh Dhaka
Barbados Bridgetown
Belarus Minsk
Belgium City_of_Brussels
Belize Belmopan
Benin Porto_Novo
Bolivia Sucre
Bosnia_and_Herzegovina Sarajevo
Brazil Brasília
Bulgaria Sofia
Burkina_Faso Ouagadougou
Burundi Bujumbura
Cambodia Phnom_Penh
Cameroon Yaoundé
Canada Ottawa
Central_African_Republic Bangui
Chad N'Djamena
Chile Santiago
China Beijing
Colombia Bogotá
Comoros Moroni,_Comoros
Costa_Rica San_José,_Costa_Rica
Croatia Zagreb
Cuba Havana
Cyprus Nicosia
Czech_Republic Prague
Democratic_Republic_of_the_Congo Kinshasa
Denmark Copenhagen
Djibouti Djibouti_(city)
Dominica Roseau
Dominican_Republic Santo_Domingo
Donetsk_People's_Republic Donetsk
East_Timor Dili
Ecuador Quito
Egypt Cairo
El_Salvador San_Salvador
Empire_of_China_(1915–16) Beijing
Equatorial_Guinea Malabo
Eritrea Asmara
Estonia Tallinn
Ethiopia Addis_Ababa
Fiji Suva
France Paris
Gabon Libreville
Georgia_(country) Tbilisi
Georgia_(country) Kutaisi
Germany Berlin
Ghana Accra
Greece Athens
Grenada St._George's,_Grenada
Guatemala Guatemala_City
Guinea Conakry
Guinea_Bissau Bissau
Guyana Georgetown,_Guyana
Haiti Port_au_Prince
Honduras Tegucigalpa
Hungary Budapest
India New_Delhi
Indonesia Jakarta
Iran Tehran
Iraq Baghdad
Israel Jerusalem
Italy Rome
Ivory_Coast Abidjan
Ivory_Coast Yamoussoukro
Jamaica Kingston,_Jamaica
Japan Tokyo
Jordan Amman
Kazakhstan Astana
Kenya Nairobi
Kingdom_of_the_Netherlands Amsterdam
Kosovo Pristina
Kuwait Kuwait_City
Kyrgyzstan Bishkek
Laos Vientiane
Latvia Riga
Lebanon Beirut
Lesotho Maseru
Liberia Monrovia
Libya Tripoli
Lithuania Vilnius
Madagascar Antananarivo
Malawi Lilongwe
Malaysia Kuala_Lumpur
Malaysia Putrajaya
Mali Bamako
Malta Valletta
Mauritania Nouakchott
Mauritius Port_Louis
Mexico Mexico_City
Moldova Chișinău
Mongolia Ulaanbaatar
Montenegro Podgorica
Morocco Rabat
Mozambique Maputo
Myanmar Naypyidaw
Namibia Windhoek
Nepal Kathmandu
Netherlands Amsterdam
New_Zealand Wellington
Nicaragua Managua
Niger Niamey
Nigeria Abuja
Niue Alofi
North_Korea Pyongyang
Northern_Cyprus North_Nicosia
Norway Oslo
Oman Muscat,_Oman
Pakistan Islamabad
Panama Panama_City
Papua_New_Guinea Port_Moresby
Paraguay Asunción
Peru Lima
Philippines Manila
Poland Warsaw
Qatar Doha
Republic_of_Ireland Dublin
Republic_of_the_Congo Brazzaville
Romania Bucharest
Russia Moscow
Rwanda Kigali
Saint_Lucia Castries
San_Marino City_of_San_Marino
Saudi_Arabia Riyadh
Senegal Dakar
Serbia Belgrade
Seychelles Victoria,_Seychelles
Sierra_Leone Freetown
Slovakia Bratislava
Slovenia Ljubljana
Solomon_Islands Honiara
Somalia Mogadishu
Somaliland Hargeisa
South_Africa Cape_Town
South_Africa Pretoria
South_Africa Bloemfontein
South_Korea Seoul
South_Sudan Juba
Spain Madrid
Sri_Lanka Colombo
Sri_Lanka Sri_Jayawardenepura_Kotte
Sudan Khartoum
Suriname Paramaribo
Swaziland Mbabane
Swaziland Lobamba
Sweden Stockholm
Switzerland Bern
Syria Damascus
São_Tomé_and_Príncipe São_Tomé
Taiwan Taipei
Tajikistan Dushanbe
Tanzania Dodoma
Thailand Bangkok
The_Gambia Banjul
Togo Lomé
Trinidad_and_Tobago Port_of_Spain
Tunisia Tunis
Turkey Ankara
Turkmenistan Ashgabat
Ukraine Kiev
United_Arab_Emirates Abu_Dhabi
United_Kingdom London
United_States Washington,_D.C.
Uruguay Montevideo
Uzbekistan Tashkent
Vanuatu Port_Vila
Venezuela Caracas
Vietnam Hanoi
Yemen Abd_Rabbuh_Mansur_Hadi
Yemen Aden
Yemen Sana'a
Zambia Lusaka
Zimbabwe Harare
