Algeria Algiers
Armenia Yerevan
Australia Canberra
Austria Vienna
Azerbaijan Baku
Barbados Bridgetown
Benin Porto_Novo
Brazil Brasília
Bulgaria Sofia
Burundi Bujumbura
Cambodia Phnom_Penh
Cameroon Yaoundé
Chad N'Djamena
Colombia Bogotá
Cyprus Nicosia
Dominica Roseau
East_Timor Dili
Eritrea Asmara
Estonia Tallinn
Fiji Suva
France Paris
Ghana Accra
Guinea Conakry
Guinea_Bissau Bissau
Haiti Port_au_Prince
Hungary Budapest
Italy Rome
Ivory_Coast Yamoussoukro
Japan Tokyo
Kazakhstan Astana
Kenya Nairobi
Kyrgyzstan Bishkek
Latvia Riga
Lebanon Beirut
Liberia Monrovia
Malawi Lilongwe
Malaysia Kuala_Lumpur
Mali Bamako
Mauritania Nouakchott
Mongolia Ulaanbaatar
Montenegro Podgorica
Myanmar Naypyidaw
Namibia Windhoek
Netherlands Amsterdam
New_Zealand Wellington
Nicaragua Managua
Niger Niamey
Nigeria Abuja
North_Korea Pyongyang
Peru Lima
Poland Warsaw
Saint_Lucia Castries
Saudi_Arabia Riyadh
Slovenia Ljubljana
Solomon_Islands Honiara
South_Africa Cape_Town
South_Africa Pretoria
South_Africa Bloemfontein
South_Korea Seoul
Sri_Lanka Colombo
Suriname Paramaribo
Swaziland Mbabane
Sweden Stockholm
Syria Damascus
Taiwan Taipei
Tajikistan Dushanbe
Turkey Ankara
Turkmenistan Ashgabat
United_Arab_Emirates Abu_Dhabi
United_Kingdom London
Uzbekistan Tashkent
Venezuela Caracas
Zimbabwe Harare
