Afghanistan Afghan_afghani
Algeria Algerian_dinar
Angola Angolan_kwanza
Argentina Argentine_peso
Armenia Armenian_dram
Australia Australian_dollar
Austria Euro
Azerbaijan Azerbaijani_manat
Bahrain Bahraini_dinar
Bangladesh Bangladeshi_taka
Barbados Bajan_dollar
Belarus New_Belarusian_ruble
Belgium Euro
Belize Belize_dollar
Benin West_African_CFA_franc
Bolivia Bolivian_boliviano
Bosnia_and_Herzegovina Bosnia_and_Herzegovina_convertible_mark
Brazil Brazilian_real
Bulgaria Bulgarian_lev
Burkina_Faso West_African_CFA_franc
Burundi Burundian_franc
Cambodia Cambodian_riel
Cameroon Central_African_CFA_franc
Canada Canadian_dollar
Central_African_Republic Central_African_CFA_franc
Chad Central_African_CFA_franc
Chile Chilean_peso
China Renminbi
Colombia Colombian_peso
Comoros Comorian_franc
Costa_Rica Costa_Rican_colón
Croatia Croatian_kuna
Cuba Cuban_convertible_peso
Cuba Cuban_peso
Cyprus Euro
Czech_Republic Czech_koruna
Democratic_Republic_of_the_Congo Congolese_franc
Denmark Danish_krone
Djibouti Djiboutian_franc
Dominica East_Caribbean_dollar
Dominican_Republic Dominican_peso
Donetsk_People's_Republic Russian_ruble
East_Timor United_States_Dollar
Ecuador United_States_dollar
Egypt Egyptian_pound
El_Salvador United_States_dollar
Empire_of_China_(1915–16) Chinese_Yuan
Equatorial_Guinea Central_African_CFA_franc
Eritrea Eritrean_nakfa
Estonia Euro
Ethiopia Ethiopian_birr
Fiji Fijian_dollar
France CFP_franc
France Euro
France ISO_4217
Gabon Central_African_CFA_franc
Georgia_(country) Georgian_lari
Germany Euro
Ghana Ghana_cedi
Greece Euro
Grenada East_Caribbean_dollar
Guatemala Guatemalan_quetzal
Guinea Guinean_franc
Guinea-Bissau West_African_CFA_franc
Guyana Guyanese_dollar
Haiti Haitian_gourde
Honduras Honduran_lempira
Hungary Hungarian_forint
India Indian_rupee
Indonesia Indonesian_rupiah
Iran Iranian_rial
Iraq Iraqi_dinar
Israel Israeli_new_shekel
Italy Euro_sign
Ivory_Coast West_African_CFA_franc
Jamaica Jamaican_dollar
Japan Japanese_yen
Jordan Jordanian_dinar
Kazakhstan Kazakhstani_tenge
Kenya Kenyan_shilling
Kosovo Euro
Kuwait Kuwaiti_dinar
Kyrgyzstan Kyrgyzstani_som
Laos Lao_kip
Latvia Euro
Lebanon Lebanese_pound
Lesotho Lesotho_loti
Liberia Liberian_dollar
Libya Libyan_dinar
Lithuania Euro
Madagascar Malagasy_ariary
Malawi Malawian_kwacha
Malaysia Malaysian_ringgit
Mali West_African_CFA_franc
Malta Euro_sign
Mauritania Mauritanian_ouguiya
Mauritius Mauritian_rupee
Mexico Mexican_peso
Moldova Moldovan_leu
Mongolia Mongolian_tögrög
Montenegro Euro
Morocco Moroccan_dirham
Mozambique Mozambican_metical
Myanmar Burmese_kyat
Namibia Namibian_dollar
Nepal Nepalese_rupee
Netherlands Euro
Netherlands ISO_4217
Netherlands United_States_dollar
Netherlands Caribbean_Netherlands
New_Zealand New_Zealand_dollar
Nicaragua Nicaraguan_córdoba
Niger West_African_CFA_franc
Nigeria Nigerian_naira
Niue New_Zealand_dollar
North_Korea North_Korean_won
Northern_Cyprus Turkish_lira
Norway Norwegian_krone
Oman Omani_rial
Pakistan Pakistani_rupee
Panama ISO_4217
Panama United_States_dollar
Panama Panamanian_balboa
Papua_New_Guinea Papua_New_Guinean_kina
Paraguay Paraguayan_guaraní
Peru Peruvian_sol
Philippines Philippine_peso
Poland Polish_złoty
Portugal Euro
Qatar Qatari_riyal
Republic_of_Ireland Euro
Republic_of_the_Congo Central_African_CFA_franc
Romania Romanian_leu
Russia Russian_ruble
Rwanda Rwandan_franc
Saint_Lucia East_Caribbean_dollar
San_Marino Euro
Saudi_Arabia Saudi_riyal
Senegal West_African_CFA_franc
Serbia Serbian_dinar
Seychelles Seychellois_rupee
Sierra_Leone Sierra_Leonean_leone
Slovakia Euro_sign
Slovenia Euro
Solomon_Islands Solomon_Islands_dollar
Somalia Somali_shilling
Somaliland Somaliland_shilling
South_Africa South_African_rand
South_Korea South_Korean_won
South_Korea ISO_4217
South_Sudan South_Sudanese_pound
Spain Euro
Sri_Lanka Sri_Lankan_rupee
Sudan Sudanese_pound
Suriname Surinamese_dollar
Swaziland Swazi_lilangeni
Sweden Swedish_krona
Switzerland Swiss_franc
Syria Syrian_pound
São_Tomé_and_Príncipe São_Tomé_and_Príncipe_dobra
Taiwan New_Taiwan_dollar
Tajikistan Somoni
Tanzania Tanzanian_shilling
Thailand Thai_baht
The_Gambia Gambian_dalasi
Togo CFA_franc
Trinidad_and_Tobago Trinidad_and_Tobago_dollar
Tunisia Tunisian_dinar
Turkey Turkish_lira
Turkmenistan Manat_(Turkmenistan)
Ukraine Ukrainian_hryvnia
United_Arab_Emirates United_Arab_Emirates_dirham
United_Kingdom Pound_sterling
Uruguay Uruguayan_peso
Uzbekistan Uzbekistan_som
Vanuatu Vanuatu_vatu
Venezuela Venezuelan_bolívar
Yemen Yemeni_rial
Zambia Zambian_kwacha
Zimbabwe United_States_dollar
Zimbabwe Botswana_pula
Zimbabwe South_African_rand
