Argentina Argentine_peso
Armenia Armenian_dram
Austria Euro
Azerbaijan Azerbaijani_manat
Bahrain Bahraini_dinar
Bangladesh Bangladeshi_taka
Belgium Euro
Bulgaria Bulgarian_lev
Chile Chilean_peso
China Renminbi
Colombia Colombian_peso
Croatia Croatian_kuna
Cyprus Euro
Czech_Republic Czech_koruna
Denmark Danish_krone
Estonia Euro
Ethiopia Ethiopian_birr
France Euro
Germany Euro
Ghana Ghana_cedi
Greece Euro
Hungary Hungarian_forint
Indonesia Indonesian_rupiah
Iran Iranian_rial
Iraq Iraqi_dinar
Jordan Jordanian_dinar
Kenya Kenyan_shilling
Kosovo Euro
Kuwait Kuwaiti_dinar
Laos Lao_kip
Latvia Euro
Libya Libyan_dinar
Lithuania Euro
Malaysia Malaysian_ringgit
Mauritius Mauritian_rupee
Mexico Mexican_peso
Montenegro Euro
Netherlands Euro
Nigeria Nigerian_naira
Norway Norwegian_krone
Oman Omani_rial
Peru Peruvian_sol
Philippines Philippine_peso
Portugal Euro
Qatar Qatari_riyal
Romania Romanian_leu
Russia Russian_ruble
San_Marino Euro
Saudi_Arabia Saudi_riyal
Serbia Serbian_dinar
Slovenia Euro
Somalia Somali_shilling
Spain Euro
Sweden Swedish_krona
Switzerland Swiss_franc
Tajikistan Somoni
Tanzania Tanzanian_shilling
Thailand Thai_baht
Togo CFA_franc
Turkey Turkish_lira
Ukraine Ukrainian_hryvnia
United_Kingdom Pound_sterling
Yemen Yemeni_rial
Zambia Zambian_kwacha
Zimbabwe Botswana_pula
