Argentina Argentine_peso
Azerbaijan Azerbaijani_manat
Bahrain Bahraini_dinar
Bangladesh Bangladeshi_taka
Belgium Euro
Croatia Croatian_kuna
Cyprus Euro
Denmark Danish_krone
Estonia Euro
Germany Euro
Ghana Ghana_cedi
Indonesia Indonesian_rupiah
Iran Iranian_rial
Iraq Iraqi_dinar
Jordan Jordanian_dinar
Kenya Kenyan_shilling
Kosovo Euro
Kuwait Kuwaiti_dinar
Lithuania Euro
Mauritius Mauritian_rupee
Mexico Mexican_peso
Montenegro Euro
Norway Norwegian_krone
Oman Omani_rial
Peru Peruvian_sol
Philippines Philippine_peso
Romania Romanian_leu
Russia Russian_ruble
Serbia Serbian_dinar
Thailand Thai_baht
United_Kingdom Pound_sterling
Zimbabwe Botswana_pula
