[('Armenia', 0.6312310695648193), ('Armenian_dram', 0.5757973790168762), ('hryvnia', 0.5406061410903931)] Armenian_dram
[('Romanian_lei', 0.5364303588867188), ('Austria', 0.4885222613811493), ('Ghana_cedi', 0.48611685633659363)] Euro
[('leva_BGN', 0.5829053521156311), ('leva', 0.5804475545883179), ('hryvnia', 0.5667234659194946)] Bulgarian_lev
[('peso', 0.5276228189468384), ('Chile', 0.5171350240707397), ('Chilean_pesos', 0.5102728605270386)] Chilean_peso
[('renminbi', 0.5732043981552124), ('yuan', 0.5692697763442993), ('yaun', 0.5556904673576355)] Renminbi
[('Colombia', 0.5596337914466858), ('peso', 0.5418651103973389), ('FARC', 0.5166175961494446)] Colombian_peso
[('koruna', 0.5317124724388123), ('Romanian_lei', 0.5308173894882202), ('Czech_koruna', 0.5269993543624878)] Czech_koruna
[('Ghana_cedi', 0.6329938173294067), ('Ethiopia', 0.5503233671188354), ('Ugandan_shilling', 0.5281321406364441)] Ethiopian_birr
[('France', 0.4597848653793335), ('Romanian_lei', 0.45868971943855286), ('Ghana_cedi', 0.4566320478916168)] Euro
[('Greece', 0.6015079021453857), ('peripheral_eurozone', 0.5401535034179688), ('Hungary_forint', 0.5336164236068726)] Euro
[('forint', 0.6084555387496948), ('Forint', 0.5679994821548462), ('Romanian_lei', 0.5450487732887268)] Hungarian_forint
[('Laos', 0.5921282172203064), ('Ghana_cedi', 0.47621583938598633), ('Kon_Tum_province', 0.46759381890296936)] Lao_kip
[('Latvia', 0.572311520576477), ('Ukrainian_hryvnia', 0.5707536935806274), ('hryvnia', 0.5692111253738403)] Euro
[('Libya', 0.6538064479827881), ('Gaddafi_regime', 0.5725963115692139), ('Libyan', 0.540131688117981)] Libyan_dinar
[('Ringgit', 0.640750527381897), ('ringgit', 0.5785527229309082), ('RM4', 0.5680655241012573)] Malaysian_ringgit
[('Ghana_cedi', 0.5104599595069885), ('Netherlands', 0.4919549226760864), ('Romanian_lei', 0.47456222772598267)] Euro
[('Ghana_cedi', 0.7798147201538086), ('naira', 0.6563969254493713), ('Nigerian_naira', 0.6075853109359741)] Nigerian_naira
[('Portugal', 0.553191065788269), ('Ghana_cedi', 0.5323971509933472), ('safer_German_Bunds', 0.5276230573654175)] Euro
[('Kuwaiti_dinar', 0.5847122073173523), ('Qatari_riyal', 0.5815272927284241), ('Qatar', 0.5560767650604248)] Qatari_riyal
[('San_Marino', 0.663895845413208), ('Moto2_Grand_Prix', 0.43928685784339905), ('SAN_MARINO', 0.42589351534843445)] Euro
